Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 2374,https://www.congress.gov/bill/118th-congress/house-bill/2374,118th Congress (2023-2024),New Way Forward Act,,"Garcia, Jesus G. ""Chuy"" [Rep.-D-IL-4]",3/29/23,Referred to the House Committee on the Judiciary.,3/29/23,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3599,https://www.congress.gov/bill/118th-congress/house-bill/3599,118th Congress (2023-2024),DIGNIDAD (Dignity) Act of 2023,,"Salazar, Maria Elvira [Rep.-R-FL-27]",5/23/23,Referred to the Subcommittee on Border Security and Enforcement.,5/23/23,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5361,https://www.congress.gov/bill/118th-congress/house-bill/5361,118th Congress (2023-2024),Women’s Business Centers Improvement Act of 2023,,"Davids, Sharice [Rep.-D-KS-3]",9/8/23,Referred to the House Committee on Small Business.,9/8/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2840,https://www.congress.gov/bill/118th-congress/house-bill/2840,118th Congress (2023-2024),AID Youth Employment Act,,"Kelly, Robin L. [Rep.-D-IL-2]",4/25/23,Referred to the House Committee on Education and the Workforce.,4/25/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2441,https://www.congress.gov/bill/118th-congress/house-bill/2441,118th Congress (2023-2024),Servicemembers and Veterans Empowerment and Support Act of 2023,,"Pingree, Chellie [Rep.-D-ME-1]",3/30/23,Referred to the Subcommittee on Health.,4/14/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4366,https://www.congress.gov/bill/118th-congress/house-bill/4366,118th Congress (2023-2024),"Consolidated Appropriations Act, 2024",,"Carter, John R. [Rep.-R-TX-31]",6/27/23,Message on Senate action sent to the House.,11/6/23,Armed Forces and National Security,Alliances,American Battle Monuments Commission,Veterans' pensions and compensation,Veterans' organizations and recognition,Veterans' medical care,National Guard and reserves,Monuments and memorials,Military personnel and dependents,Military facilities and property,Federal appellate courts,Executive agency funding and structure,Europe,Department of Veterans Affairs,Department of Defense,Defense spending,Collective security,Cemeteries and funerals,Armed Forces Retirement Home,Appropriations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5813,https://www.congress.gov/bill/118th-congress/house-bill/5813,118th Congress (2023-2024),Websites and Software Applications Accessibility Act of 2023,,"Sarbanes, John P. [Rep.-D-MD-3]",9/28/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",9/28/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5628,https://www.congress.gov/bill/118th-congress/house-bill/5628,118th Congress (2023-2024),Algorithmic Accountability Act of 2023,,"Clarke, Yvette D. [Rep.-D-NY-9]",9/21/23,Referred to the House Committee on Energy and Commerce.,9/21/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2670,https://www.congress.gov/bill/118th-congress/house-bill/2670,118th Congress (2023-2024),National Defense Authorization Act for Fiscal Year 2024,,"Rogers, Mike D. [Rep.-R-AL-3]",4/18/23,Senate appointed conferees. Reed; Shaheen; Gillibrand; Blumenthal; Hirono; Kaine; King; Warren; Peters; Manchin; Duckworth; Rosen; Kelly; Wicker; Fischer; Cotton; Rounds; Ernst; Sullivan; Cramer; Scott FL; Tuberville; Mullin; Budd; Schmitt.,11/15/23,Armed Forces and National Security,Advanced technology and technological innovations,Assault and harassment offenses,Licensing and registrations,Immunology and vaccination,Employee leave,Caribbean area,Cemeteries and funerals,Chemical and biological weapons,Child care and development,China,Climate change and greenhouse gases,Coast guard,Collective security,Commuting,Competition and antitrust,Computer security and identity theft,Computers and information technology,Congressional oversight,Correctional facilities and imprisonment,Crimes against children,Criminal justice information and records,Criminal procedure and sentencing,Cuba,Defense spending,Dental care,Department of Defense,Detention of persons,"Diplomacy, foreign officials, Americans abroad",Disability and health-based discrimination,Disability and paralysis,Domestic violence and child abuse,Drug trafficking and controlled substances,"Drug, alcohol, tobacco use",Education programs funding,Electric power generation and transmission,Elementary and secondary education,Emergency communications systems,Employee benefits and pensions,Employee hiring,Employment and training programs,"Energy storage, supplies, demand",Estonia,Europe,Executive agency funding and structure,Family planning and birth control,Family relationships,Federal appellate courts,Federal officials,Financial literacy,Financial services and investments,Fires,First responders and emergency personnel,Foreign aid and international relief,Foreign language and bilingual programs,"Forests, forestry, trees","Government employee pay, benefits, personnel management",Government information and archives,Government studies and investigations,Guam,Hawaii,Hazardous wastes and toxic substances,Health care costs and insurance,Health care coverage and access,Health information and medical records,Health personnel,Health programs administration and funding,"Health technology, devices, supplies",Higher education,Housing and community development funding,Human trafficking,"Hybrid, electric, and advanced technology vehicles",India,Infectious and parasitic diseases,Inflation and prices,Infrastructure development,Intellectual property,International law and treaties,International organizations and cooperation,"Internet, web applications, social media",Iran,Iraq,Israel,Japan,Judicial review and appeals,Land transfers,Latvia,Law enforcement administration and funding,Law enforcement officers,Lease and rental services,Lithuania,Manufacturing,Materials,Medical research,Medical tests and diagnostic methods,Mental health,Metals,Micronesia,Middle East,Military command and structure,Military education and training,Military facilities and property,Military law,Military operations and strategy,Military personnel and dependents,"Military procurement, research, weapons development",Military readiness,Motor fuels,Motor vehicles,National Guard and reserves,Neurological disorders,North America,North Korea,Nuclear weapons,Nursing,Oceania,Oil and gas,Performance measurement,Personnel records,Pornography,Preschool education,Prescription drugs,Product development and innovation,Public contracts and procurement,Public-private cooperation,Racial and ethnic relations,Research administration and funding,Research and development,Russia,Service animals,Sex and reproductive health,Sex offenses,"Sex, gender, sexual orientation discrimination",Small business,South Asia,South Korea,Space flight and exploration,Spacecraft and satellites,Special education,Strategic materials and reserves,Student aid and college costs,Supreme Court,Syria,Taiwan,"Teaching, teachers, curricula",Technology transfer and commercialization,Transportation costs,U.S. territories and protectorates,Ukraine,United Kingdom,Veterans' medical care,Veterans' organizations and recognition,Veterans' pensions and compensation,Violent crime,Virginia,Wages and earnings,Women's health,Administrative law and regulatory procedures,Cardiovascular and respiratory health,Advisory bodies,Afghanistan,Alliances,Alternative treatments,Arms control and nonproliferation,Asia,Australia,Aviation and airports,Blood and blood diseases,Budget process,Business expenses,Buy American requirements,California,Canada,Cancer,Administrative remedies,Africa,U.S. history,Defense Nuclear Facilities Safety Board,District of Columbia,Florida,Germany,Housing industry and standards,Indiana,"Intelligence activities, surveillance, classified information",Mammals,Maryland,Massachusetts,Military history,"Museums, exhibitions, cultural centers",New York State,Poland,Radioactive wastes and releases,Romania,Building construction,"Environmental assessment, monitoring, research",Vocational and technical education,Government corporations and government-sponsored enterprises,Marine and inland water transportation,"Navigation, waterways, harbors",Business records,"Government buildings, facilities, and property",Organization of American States
H.R. 1710,https://www.congress.gov/bill/118th-congress/house-bill/1710,118th Congress (2023-2024),Office of Manufacturing and Industrial Innovation Policy Act of 2023,,"Kaptur, Marcy [Rep.-D-OH-9]",3/22/23,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Science, Space, and Technology, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3/22/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3973,https://www.congress.gov/bill/118th-congress/house-bill/3973,118th Congress (2023-2024),Judicial Ethics and Anti-Corruption Act of 2023,,"Jayapal, Pramila [Rep.-D-WA-7]",6/9/23,"Referred to the Committee on the Judiciary, and in addition to the Committees on Oversight and Accountability, Rules, Financial Services, Agriculture, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",6/9/23,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3481,https://www.congress.gov/bill/118th-congress/house-bill/3481,118th Congress (2023-2024),FAMILY Act,,"DeLauro, Rosa L. [Rep.-D-CT-3]",5/18/23,Referred to the House Committee on Ways and Means.,5/18/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4697,https://www.congress.gov/bill/118th-congress/house-bill/4697,118th Congress (2023-2024),Protecting PAHPA Act of 2023,,"Schrier, Kim [Rep.-D-WA-8]",7/18/23,Referred to the Subcommittee on Health.,7/21/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1588,https://www.congress.gov/bill/118th-congress/house-bill/1588,118th Congress (2023-2024),ACTION for National Service Act,,"Larson, John B. [Rep.-D-CT-1]",3/14/23,"Referred to the Subcommittee on Conservation, Research, and Biotechnology.",4/25/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 319,https://www.congress.gov/bill/118th-congress/house-bill/319,118th Congress (2023-2024),Legal Workforce Act,,"Calvert, Ken [Rep.-R-CA-41]",1/12/23,"Referred to the Committee on the Judiciary, and in addition to the Committees on Ways and Means, and Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/12/23,Immigration,Administrative remedies,Visas and passports,Computer security and identity theft,Department of Homeland Security,Employee hiring,Executive agency funding and structure,Federal preemption,Foreign labor,Fraud offenses and financial crimes,Government information and archives,Government studies and investigations,Immigration status and procedures,"Internet, web applications, social media",Licensing and registrations,"Migrant, seasonal, agricultural labor",Personnel records,Photography and imaging,Public contracts and procurement,State and local government operations,Telephone and wireless communication,Border security and unlawful immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5784,https://www.congress.gov/bill/118th-congress/house-bill/5784,118th Congress (2023-2024),Green New Deal for Public Schools Act of 2023,,"Bowman, Jamaal [Rep.-D-NY-16]",9/28/23,Referred to the House Committee on Education and the Workforce.,9/28/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2640,https://www.congress.gov/bill/118th-congress/house-bill/2640,118th Congress (2023-2024),Border Security and Enforcement Act of 2023,,"McClintock, Tom [Rep.-R-CA-5]",4/17/23,"Placed on the Union Calendar, Calendar No. 31.",5/5/23,Immigration,Administrative remedies,Border security and unlawful immigration,Child safety and welfare,Civil actions and liability,Computer security and identity theft,"Criminal investigation, prosecution, interrogation",Criminal justice information and records,Department of Homeland Security,Detention of persons,Domestic violence and child abuse,Employee hiring,Executive agency funding and structure,Family relationships,Federal preemption,Foreign labor,Fraud offenses and financial crimes,Government information and archives,Government studies and investigations,Immigration status and procedures,"Internet, web applications, social media",Licensing and registrations,"Migrant, seasonal, agricultural labor",Personnel records,Photography and imaging,Public contracts and procurement,"Refugees, asylum, displaced persons",State and local government operations,Telephone and wireless communication,Visas and passports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4858,https://www.congress.gov/bill/118th-congress/house-bill/4858,118th Congress (2023-2024),"Communications, Video, and Technology Accessibility Act of 2023",,"Eshoo, Anna G. [Rep.-D-CA-16]",7/25/23,Referred to the House Committee on Energy and Commerce.,7/25/23,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5871,https://www.congress.gov/bill/118th-congress/house-bill/5871,118th Congress (2023-2024),Rail Worker and Community Safety Act,,"Stansbury, Melanie Ann [Rep.-D-NM-1]",10/2/23,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.",10/3/23,Transportation and Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5560,https://www.congress.gov/bill/118th-congress/house-bill/5560,118th Congress (2023-2024),Reuniting Families Act,,"Chu, Judy [Rep.-D-CA-28]",9/19/23,Referred to the House Committee on the Judiciary.,9/19/23,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2851,https://www.congress.gov/bill/118th-congress/house-bill/2851,118th Congress (2023-2024),National Apprenticeship Act of 2023,,"Scott, Robert C. ""Bobby"" [Rep.-D-VA-3]",4/25/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",4/25/23,Labor and Employment,Executive agency funding and structure,Employment and training programs,Cardiovascular and respiratory health,Elementary and secondary education,Adult education and literacy,State and local government operations,Higher education,Department of Labor,Education programs funding,Emergency medical services and trauma care,Performance measurement,Infectious and parasitic diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4052,https://www.congress.gov/bill/118th-congress/house-bill/4052,118th Congress (2023-2024),National Infrastructure Bank Act of 2023,,"Davis, Danny K. [Rep.-D-IL-7]",6/13/23,"Referred to the Subcommittee on Innovation, Data, and Commerce.",6/16/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2992,https://www.congress.gov/bill/118th-congress/house-bill/2992,118th Congress (2023-2024),EDUCATORS for America Act,,"Adams, Alma S. [Rep.-D-NC-12]",4/28/23,Referred to the House Committee on Education and the Workforce.,4/28/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2,https://www.congress.gov/bill/118th-congress/house-bill/2,118th Congress (2023-2024),Secure the Border Act of 2023,,"Diaz-Balart, Mario [Rep.-R-FL-26]",5/2/23,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 71.,5/16/23,Immigration,Detention of persons,Criminal justice information and records,Department of Homeland Security,Domestic violence and child abuse,El Salvador,Employee hiring,Executive agency funding and structure,Family relationships,Federal preemption,Foreign labor,Fraud offenses and financial crimes,Government information and archives,Government studies and investigations,Guatemala,Honduras,Immigration status and procedures,"Internet, web applications, social media",Latin America,Law enforcement officers,Licensing and registrations,Mexico,"Migrant, seasonal, agricultural labor",Personnel records,Photography and imaging,Public contracts and procurement,"Refugees, asylum, displaced persons",State and local government operations,Telephone and wireless communication,Visas and passports,"Criminal investigation, prosecution, interrogation",Computer security and identity theft,Civil actions and liability,Child safety and welfare,Border security and unlawful immigration,Administrative remedies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4365,https://www.congress.gov/bill/118th-congress/house-bill/4365,118th Congress (2023-2024),"Department of Defense Appropriations Act, 2024",,"Calvert, Ken [Rep.-R-CA-41]",6/27/23,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 226.,10/16/23,Armed Forces and National Security,Africa,Visas and passports,Arms control and nonproliferation,Asia,Central Intelligence Agency (CIA),Chemical and biological weapons,Conflicts and wars,Congressional oversight,Cuba,Defense spending,Department of Defense,Detention of persons,Disaster relief and insurance,Drug trafficking and controlled substances,Due process and equal protection,Egypt,Europe,Executive agency funding and structure,Foreign aid and international relief,Foreign and international corporations,"Government employee pay, benefits, personnel management",Government studies and investigations,Hazardous wastes and toxic substances,"Intelligence activities, surveillance, classified information",Iraq,Jordan,Judicial procedure and administration,Lebanon,Middle East,"Military assistance, sales, and agreements",Military civil functions,Military command and structure,Military education and training,Military medicine,Military operations and strategy,Military personnel and dependents,"Military procurement, research, weapons development",National Guard and reserves,Nuclear weapons,Public contracts and procurement,"Refugees, asylum, displaced persons",Research administration and funding,Research and development,Russia,Syria,Terrorism,Tunisia,Ukraine,Appropriations,Venezuela,Iran,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4367,https://www.congress.gov/bill/118th-congress/house-bill/4367,118th Congress (2023-2024),"Department of Homeland Security Appropriations Act, 2024",,"Joyce, David P. [Rep.-R-OH-14]",6/27/23,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 4367.",9/28/23,Emergency Management,Air quality,User charges and fees,Arms control and nonproliferation,Aviation and airports,Border security and unlawful immigration,Building construction,Cardiovascular and respiratory health,Child safety and welfare,Citizenship and naturalization,Climate change and greenhouse gases,Coast guard,Computer security and identity theft,Customs enforcement,Department of Homeland Security,Disaster relief and insurance,Emergency medical services and trauma care,Executive agency funding and structure,Family relationships,Federal Emergency Management Agency (FEMA),Floods and storm protection,Health promotion and preventive care,Immigrant health and welfare,Immigration status and procedures,Infectious and parasitic diseases,"Intelligence activities, surveillance, classified information",Latin America,Law enforcement administration and funding,Law enforcement officers,Medical tests and diagnostic methods,Mexico,Public contracts and procurement,Research administration and funding,Research and development,Transportation safety and security,Appropriations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
