,match_no_punct,def_no_punct
280,gender transition surgery means,gender transition surgery.--the term   gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
281,gender transition surgery includes,gender transition surgery.--the term   gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
282,gender transition surgery--(a includes,gender transition surgery.--the term   gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
283,sex means,biological sex.--the term  biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
284,biological sex means,biological sex.--the term  biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
285,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
286,gender transition means,gender transition.--the term  gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
287,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service that seeks--(i to alter or remove physical or anatomical characteristics or features that are typical for the individual s biological sex or(ii to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
288,gender transition surgery means,in general.--the term  gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
289,gender transition surgery includes,inclusions.--the term  gender transition surgery includes genital gender transition surgery and non genital gender transition surgery
290,gender transition surgery means,genital gender transition surgery.--the term  genital gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients a penectomy orchiectomy vaginoplasty clitoroplasty and vulvoplasty and(b for biologically female patients a hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty and implantation of erection or testicular prostheses
291,gender transition surgery means,minor.--the term  minor means an individual under the age of 18.(9 non genital gender transition surgery.--the term  non genital gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants lipofilling hair reconstruction and various aesthetic procedures and(b for biologically female patients subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants and various aesthetic procedures
292,orientation includes,an explicit and comprehensive national solution is needed to address this discrimination including the full range of remedies available under the civil rights act of 1964.(12 discrimination based on sexual orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
293,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
294,orientation means,  5 sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
295,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
296,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
297,gender transition means,gender transition.--the term  gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
298,gender transition surgery means,in general.--the term  gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
299,-sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
300,sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
301,cross sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
302,sex means,biological sex.--the term   biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
303,biological sex means,biological sex.--the term   biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
304,gender identity means,gender identity.--the term   gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
305,gender transition includes,in general.--the term   gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
306,gender clinic means,minor.--the term   minor means an individual who has not yet reached 18 years of age.(6 pediatric gender clinic.--the term   pediatric gender clinic means a medical facility that specializes in the diagnosis or treatment of gender discordance and gender dysphoria in minors including medical interventions such as therapeutic diagnosis of gender dysphoria and performance of or referral for gender transition procedures on minors.(b
307,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerism or other gender related characteristic of an individual regardless of the designated sex at birth of the individual.(5 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
308,orientation means,gender identity.--the term   gender identity means the gender related identity appearance mannerism or other gender related characteristic of an individual regardless of the designated sex at birth of the individual.(5 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
309,sex characteristics--(a means,survey.--the term   survey--(a means a data collection activity involving a questionnaire for a sample of a population and(b includes the decennial census.(7 variations in sex characteristics.--the term   variations in sex characteristics--(a means a physical trait present at birth or naturally occurring at a later time including genitals gonads hormone function and chromosome patterns that differs from normative expectations for male or female bodies regarding the development appearance or function of sex related characteristics and(b is sometimes referred to as intersex traits.(b
310,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(7 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(8 secretary.--the term   secretary means the secretary of education.(9
311,gender equity infrastructure means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(7 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(8 secretary.--the term   secretary means the secretary of education.(9
312,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality.(11
313,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
314,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality
315,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4
316,orientation means,sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
317,gender expression means,gender expression.--the term   gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(6
318,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(7 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(8 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(9 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(10
319,sex education means,sex education.--the term   sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy pregnancy options and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
320,orientation means,sexual orientation.--the term   sexual orientation means an individual s romantic emotional or sexual attraction to other people.(18
321,sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
322,biological sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
323,gender affirming care means,  2 gender affirming care.--(a in general.--except as provided in subparagraph b the term  gender affirming care means with respect to an individual any of the following:(i
324,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
325,orientation means,member of a vulnerable group.--the term   member of a vulnerable group means an alien who--(a is younger than 21 years of age or older than 60 years of age;(b is pregnant;(c identifies as lesbian gay bisexual transgender or intersex;(d is a victim or witness of a crime;(e has filed a nonfrivolous civil rights claim in federal or state court;(f has a serious mental or physical illness or disability;(g has been determined by an asylum officer in an interview conducted under section 235(b)(1)(b of the immigration and nationality act 8 u.s.c. 1225(b)(1)(b to have a credible fear of persecution or(h has been determined by an immigration judge or by the secretary of homeland security based on information obtained during intake from the alien s attorney or legal service provider or through credible self reporting to be--(i experiencing severe trauma or(ii a survivor of torture or gender based violence.(5 sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
326,sex which includes,nondiscrimination.--no person in the united states shall on the basis of actual or perceived race color religion national origin sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
327,sex which includes,nondiscrimination.--no person in the united states shall on the basis of actual or perceived race color religion national origin sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
328,gender identity means,the term  form 10 k means the form described in section 249.310 of title 17 code of federal regulations as in effect on the date of enactment of this subsection;(e the term  gender identity means a characteristic consisting of the gender related identity appearance mannerisms or other gender related characteristics of an individual whether the characteristic is actual or perceived regardless of the designated sex of the individual at birth;(f
329,orientation means,the term  judgment means with respect to an issuer a judgment entered against the issuer whether imposed by a court or through arbitration;(g the term  settlement means any commitment or agreement--(i without regard to whether the commitment or agreement as applicable is in writing and(ii under which an issuer directly or indirectly--(i provides to an individual compensation or other consideration because of an allegation that the individual has been a victim of covered harassment covered discrimination or sexual abuse or(ii establishes conditions that affect the terms of the employment including by terminating the employment of the individual with the issuer--(aa because of the experience of the individual with or the participation of the individual in an alleged act of covered harassment covered discrimination or sexual abuse and(bb in exchange for which the individual agrees or commits not to--(aa bring legal administrative or any other type of action against the issuer or(bb publicly disclose for a period of time of any length any portion of the alleged act described in item aa on which the commitment or agreement as applicable is based;(h the term  sexual abuse means a nonconsensual sexual act or sexual contact as such terms are defined in section 2246 of title 18 united states code or similar applicable tribal or state law including such an act or contact in a circumstance in which the victim lacks capacity to consent and(i the term  sexual orientation means a characteristic consisting of homosexuality heterosexuality or bisexuality whether the characteristic is actual or perceived (2
330,sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
331,biological sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
